product,rating,price,brand,gender,sentence_vector
  (0, 2144)	0.10262997179674316
  (0, 2265)	0.09907186763861273
  (0, 2294)	0.12428478333464259
  (0, 2351)	0.1615483917174383"
New Balance Girl's,4.1,37.0,New Balance,Unisex,"  (0, 99)	0.12257367849654269
  (0, 112)	0.17614217889075948
  (0, 330)	0.24464493725423392
  (0, 348)	0.08962848526633838
  (0, 358)	0.12977391022170687
  (0, 360)	0.0449639883961642
  (0, 380)	0.21727121136335603
  (0, 385)	0.1423502654158866
  (0, 464)	0.21294032283652278
  (0, 479)	0.171749662938972
  (0, 556)	0.18108511404645897
  (0, 581)	0.08474673050799249
  (0, 655)	0.1351500336907224
  (0, 679)	0.26065754040541733
  (0, 707)	0.05771892161935295
  (0, 732)	0.0563530700316059
  (0, 766)	0.07879044220811166
  (0, 832)	0.17614217889075948
  (0, 849)	0.06251543318390124
  (0, 1058)	0.18380977629060563
  (0, 1114)	0.09203891090937016
  (0, 1159)	0.20591008862366156
  (0, 1231)	0.06494232256700244
  (0, 1241)	0.16903558218476852
  (0, 1242)	0.13769878500439772
  (0, 1257)	0.15643605039972774
  (0, 1314)	0.12608400033246334
  (0, 1412)	0.11805539193337922
  (0, 1503)	0.15116263684190578
  (0, 1527)	0.21118350218148352
  (0, 1557)	0.19358202648283432
  (0, 1564)	0.17614217889075948
  (0, 1595)	0.06186694671469683
  (0, 1637)	0.08040258190896664
  (0, 1697)	0.05913370951913372
  (0, 1773)	0.0937061868498944
  (0, 1923)	0.17388488232129476
  (0, 1976)	0.12317662056840858
  (0, 2064)	0.08060880660000858
  (0, 2107)	0.26065754040541733
  (0, 2202)	0.08060880660000858
  (0, 2210)	0.19709771719764232
  (0, 2265)	0.08339258852374896
  (0, 2311)	0.10577121024395199
  (0, 2351)	0.13598147363394542"
New Balance Men's 1540v3,4.4,118.0,New Balance,Men,"  (0, 87)	0.20351545247781977
  (0, 93)	0.11707550759635066
  (0, 99)	0.09570272781019551
  (0, 106)	0.05272445465472448
  (0, 149)	0.11707550759635066
  (0, 220)	0.09713714473880491
  (0, 358)	0.10132450424226334
  (0, 359)	0.09217495288798744
  (0, 364)	0.17526217441266057
  (0, 374)	0.18214267269166462
  (0, 385)	0.11114383505419512
  (0, 397)	0.0857985705254874
  (0, 420)	0.164887253733259
  (0, 456)	0.09345104133825939
  (0, 462)	0.16076989290550947
  (0, 464)	0.04156473479094802
  (0, 556)	0.1413871199154335
  (0, 581)	0.0661683110280415
  (0, 589)	0.18214267269166462
  (0, 644)	0.08826663966372165
  (0, 655)	0.10552205862212728
  (0, 707)	0.04506561533429668
  (0, 708)	0.14773252809397927
  (0, 732)	0.043999189619293215
  (0, 766)	0.06151777720288076
  :	:
  (0, 1334)	0.10488627520254308
  (0, 1367)	0.20351545247781977
  (0, 1412)	0.09217495288798744
  (0, 1429)	0.1096394194498768
  (0, 1447)	0.13939711311935432
  (0, 1477)	0.13752778907383936
  (0, 1515)	0.08754109081419664
  (0, 1530)	0.2750555781476787
  (0, 1557)	0.10076294909136525
  (0, 1595)	0.048304298561550496
  (0, 1635)	0.164887253733259
  (0, 1640)	0.20351545247781977
  (0, 1697)	0.0923404988074409
  (0, 1718)	0.05986687959667507
  (0, 1773)	0.10974547477352223
  (0, 1827)	0.07858108087682479
  (0, 1870)	0.19101317776674787
  (0, 1976)	0.09617349120488897
  (0, 1989)	0.06392167482282825
  (0, 2091)	0.26370519366757506
  (0, 2219)	0.164887253733259
  (0, 2264)	0.20351545247781977
  (0, 2277)	0.20351545247781977
  (0, 2311)	0.08258374447347126
  (0, 2351)	0.10617122793443637"
New Balance Men's 2002 Trainers,4.6,135.0,New Balance,Men,"  (0, 360)	0.31568415820690165
  (0, 466)	0.9488643276344622"
New Balance Men's 410 V8,4.3,70.0,New Balance,Men,"  (0, 111)	0.10595769505622431
  (0, 123)	0.17929437568446832
  (0, 141)	0.19934827324400065
  (0, 220)	0.1282812187180135
  (0, 360)	0.04636280118289877
  (0, 397)	0.11330727520217174
  (0, 464)	0.16467361221120327
  (0, 529)	0.18952802937653634
  (0, 581)	0.08738316945606946
  (0, 673)	0.21231587412353053
  (0, 707)	0.11902907117366235
  (0, 732)	0.05810619286931847
  (0, 829)	0.1286513028381067
  (0, 849)	0.06446026482417787
  (0, 931)	0.12399088394720312
  (0, 959)	0.20322935313311855
  (0, 1024)	0.2687664985624518
  (0, 1143)	0.09084031878212791
  (0, 1205)	0.09188449183862456
  (0, 1231)	0.13392530764848562
  (0, 1241)	0.08714710782125062
  (0, 1264)	0.10671180027355368
  (0, 1292)	0.23410866484154538
  (0, 1314)	0.06500321310750559
  (0, 1365)	0.23145466535257922
  (0, 1429)	0.1447919679375446
  (0, 1493)	0.09490220685017539
  (0, 1503)	0.15586524968460924
  (0, 1544)	0.12893276090528233
  (0, 1557)	0.13306952706730873
  (0, 1595)	0.12758320836908554
  (0, 1637)	0.08290387602615688
  (0, 1661)	0.10070744868582171
  (0, 1687)	0.1840905619040699
  (0, 1697)	0.12194667401332068
  (0, 1773)	0.09662135111883974
  (0, 1800)	0.20349649233866635
  (0, 1827)	0.10377571679879595
  (0, 1960)	0.09490220685017539
  (0, 1989)	0.16883243522996416
  (0, 1999)	0.19934827324400065
  (0, 2029)	0.19580512490399943
  (0, 2064)	0.08311651628986173
  (0, 2091)	0.11608475047284472
  (0, 2144)	0.08907506637567568
  (0, 2202)	0.08311651628986173
  (0, 2293)	0.13381112781466742
  (0, 2311)	0.1090617128580451
  (0, 2314)	0.1533965836827173"
New Balance Men's 515 V3 Classic,4.6,70.0,New Balance,Men,"  (0, 0)	0.1487018272526946
  (0, 103)	0.0853185404804962
  (0, 106)	0.04989382961263921
  (0, 108)	0.19258929041492948
  (0, 149)	0.11079005873230294
  (0, 220)	0.09192212950128488
  (0, 348)	0.13244570904460448
  (0, 358)	0.09588468165968259
  (0, 360)	0.06644413667046489
  (0, 456)	0.17686784488104756
  (0, 464)	0.07866648632536472
  (0, 522)	0.19258929041492948
  (0, 581)	0.06261592382147836
  (0, 655)	0.09985688136075531
  (0, 660)	0.13014431576369584
  (0, 701)	0.11774665221036411
  (0, 707)	0.04264617145123299
  (0, 732)	0.08327399816026382
  (0, 829)	0.046093659844271676
  (0, 849)	0.09238023882327134
  (0, 948)	0.12262112210298369
  (0, 959)	0.145627513550755
  (0, 1116)	0.06904232824145837
  (0, 1138)	0.17686784488104756
  (0, 1205)	0.06584142435157396
  :	:
  (0, 1427)	0.06509320405962284
  (0, 1435)	0.29125502710151
  (0, 1493)	0.06800382031929168
  (0, 1557)	0.09535327479733587
  (0, 1564)	0.13014431576369584
  (0, 1589)	0.18572693791951744
  (0, 1595)	0.045710979047027346
  (0, 1618)	0.11079005873230294
  (0, 1637)	0.0594062085190086
  (0, 1697)	0.043691500879580285
  (0, 1718)	0.11330559641053539
  (0, 1735)	0.13580959266351975
  (0, 1773)	0.1038535543888771
  (0, 1833)	0.0594062085190086
  (0, 1852)	0.1166454274611405
  (0, 1915)	0.24795705858567796
  (0, 1960)	0.06800382031929168
  (0, 1989)	0.060489903082931916
  (0, 2083)	0.09642009104026715
  (0, 2091)	0.08318253889952142
  (0, 2202)	0.05955857958355571
  (0, 2207)	0.1560349290843931
  (0, 2235)	0.07033938589055623
  (0, 2265)	0.12323080640347525
  (0, 2311)	0.07815005963582579"
New Balance Men's 520 V8,4.3,60.0,New Balance,Men,"  (0, 99)	0.14404572232953256
  (0, 320)	0.1971913163265592
  (0, 358)	0.15250726637808248
  (0, 360)	0.05284062832074408
  (0, 397)	0.1291386081564599
  (0, 464)	0.12512124541051425
  (0, 470)	0.3063186497205165
  (0, 636)	0.16966722704403814
  (0, 644)	0.13285339048200928
  (0, 686)	0.1909941239570715
  (0, 766)	0.09259268629072641
  (0, 829)	0.07331325440658855
  (0, 849)	0.07346667604474873
  (0, 1013)	0.3063186497205165
  (0, 1026)	0.13689158877336544
  (0, 1080)	0.3063186497205165
  (0, 1114)	0.10816197708170822
  (0, 1241)	0.09932333284704689
  (0, 1477)	0.2069981720564326
  (0, 1637)	0.09448723519024665
  (0, 1685)	0.18383999040090435
  (0, 1697)	0.1389851068547091
  (0, 1773)	0.055060660400756065
  (0, 1790)	0.27414968679824153
  (0, 1852)	0.18552781288610623
  (0, 1959)	0.1971913163265592
  (0, 1960)	0.10816197708170822
  (0, 2127)	0.22316308687934644
  (0, 2202)	0.09472958562753209
  (0, 2203)	0.3063186497205165
  (0, 2235)	0.11187675940725761
  (0, 2265)	0.09800102108522205
  (0, 2294)	0.12294141578697218"
New Balance Men's 574 Core,4.6,100.0,New Balance,Men Men,"  (0, 106)	0.05328251765530447
  (0, 279)	0.12343450526323053
  (0, 348)	0.07072057692631749
  (0, 360)	0.10643533216596396
  (0, 397)	0.08670670713925581
  (0, 464)	0.12601403256837398
  (0, 481)	0.17341341427851162
  (0, 581)	0.13373734156802242
  (0, 644)	0.08920089960257596
  (0, 707)	0.09108522640666734
  (0, 732)	0.13339469965474587
  (0, 766)	0.062168913294466215
  (0, 829)	0.0492242480386362
  (0, 849)	0.09865451788962865
  (0, 869)	0.11310916151629274
  (0, 931)	0.09488217983501149
  (0, 1026)	0.09191224117282615
  (0, 1116)	0.07373154360067248
  (0, 1138)	0.0944401756759795
  (0, 1143)	0.139028405775795
  (0, 1205)	0.14062648157897384
  (0, 1230)	0.1245677490856368
  (0, 1231)	0.2049686996372041
  (0, 1241)	0.13337605625778035
  (0, 1242)	0.21730005786946616
  :	:
  (0, 1661)	0.15412975458747616
  (0, 1697)	0.046658939293231866
  (0, 1718)	0.12100108346182745
  (0, 1773)	0.1478761038055546
  (0, 1800)	0.10381510945107356
  (0, 1827)	0.07941282383310799
  (0, 1833)	0.126881916213821
  (0, 1858)	0.12574376679360807
  (0, 1960)	0.07262250231986445
  (0, 1965)	0.08376791367780545
  (0, 1971)	0.38606992081389185
  (0, 1976)	0.09719144136538901
  (0, 2029)	0.14983695964026744
  (0, 2030)	0.20566956568426126
  (0, 2064)	0.12720735581226114
  (0, 2144)	0.06816336973830478
  (0, 2195)	0.08705102855139384
  (0, 2202)	0.12720735581226114
  (0, 2215)	0.13239890036925445
  (0, 2235)	0.07511669478318458
  (0, 2265)	0.1316003936528306
  (0, 2266)	0.1624715649175828
  (0, 2294)	0.08254576602692959
  (0, 2311)	0.08345785369929078
  (0, 2362)	0.1107998999859152"
New Balance Men's 608 V5 Casual Comfort Cross Trainer,4.6,64.0,New Balance,Men,"  (0, 66)	0.2118314157551052
  (0, 83)	0.1851290619681507
  (0, 106)	0.07532795097429533
  (0, 111)	0.11463013833224368
  (0, 259)	0.12306805120212946
  (0, 360)	0.05015751154501733
  (0, 397)	0.12258126815218567
  (0, 464)	0.05938394858886533
  (0, 558)	0.20504055145538644
  (0, 581)	0.0945353218314531
  (0, 644)	0.12610742299368333
  (0, 707)	0.06438569132216075
  (0, 829)	0.06959058817356388
  (0, 843)	0.2907645442168083
  (0, 1003)	0.2503988057963211
  (0, 1050)	0.12825679647946298
  (0, 1142)	0.24236691808431973
  (0, 1231)	0.07244342439587817
  (0, 1241)	0.09427993898417751
  (0, 1272)	0.21566456429736525
  (0, 1278)	0.1587922988086775
  (0, 1314)	0.07032360704524371
  (0, 1404)	0.12937213245190443
  (0, 1412)	0.131691268836711
  (0, 1544)	0.1394856712416038
  (0, 1595)	0.06901283015103032
  (0, 1718)	0.08553240428515813
  (0, 1773)	0.10452963174334606
  (0, 1800)	0.14676820501823723
  (0, 1827)	0.11226956915079593
